gml_id,kachel,kachelbezeichnung_dop20_ab_2015,kachelbezeichnung_dop20_bis_2014,geometry
APP_LGV_KACHEL_DOP20_1KM_UTM_62,5328,dop20rgb_32553_5928_1_hh_JAHR ,dop20c_32553_5928   ,"POLYGON ((9.798980194186091 53.49828485918582, 9.799149215528827 53.50727265185211, 9.814225846225018 53.50717091398747, 9.814053637001118 53.49818315448839, 9.798980194186091 53.49828485918582))"
APP_LGV_KACHEL_DOP20_1KM_UTM_63,5329,dop20rgb_32553_5929_1_hh_JAHR ,dop20c_32553_5929   ,"POLYGON ((9.799149215528827 53.50727265185211, 9.799318328021279 53.51626043055222, 9.81439814831726 53.51615865950632, 9.814225846225018 53.50717091398747, 9.799149215528827 53.50727265185211))"
APP_LGV_KACHEL_DOP20_1KM_UTM_64,5330,dop20rgb_32553_5930_1_hh_JAHR ,dop20c_32553_5930   ,"POLYGON ((9.799318328021279 53.51626043055222, 9.799487531729595 53.52524819528716, 9.814570543345225 53.52514639104607, 9.81439814831726 53.51615865950632, 9.799318328021279 53.51626043055222))"
APP_LGV_KACHEL_DOP20_1KM_UTM_65,5331,dop20rgb_32553_5931_1_hh_JAHR ,dop20c_32553_5931   ,"POLYGON ((9.799487531729595 53.52524819528716, 9.799656826719968 53.534235946058, 9.814743031376361 53.53413410860765, 9.814570543345225 53.52514639104607, 9.799487531729595 53.52524819528716))"
APP_LGV_KACHEL_DOP20_1KM_UTM_66,5332,dop20rgb_32553_5932_1_hh_JAHR ,dop20c_32553_5932   ,"POLYGON ((9.799656826719968 53.534235946058, 9.799826213058669 53.54322368286582, 9.814915612478186 53.54312181219218, 9.814743031376361 53.53413410860765, 9.799656826719968 53.534235946058))"
APP_LGV_KACHEL_DOP20_1KM_UTM_67,5333,dop20rgb_32553_5933_1_hh_JAHR ,dop20c_32553_5933   ,"POLYGON ((9.799826213058669 53.54322368286582, 9.799995690812036 53.55221140571165, 9.815088286718286 53.55210950180073, 9.814915612478186 53.54312181219218, 9.799826213058669 53.54322368286582))"
APP_LGV_KACHEL_DOP20_1KM_UTM_68,5334,dop20rgb_32553_5934_1_hh_JAHR ,dop20c_32553_5934   ,"POLYGON ((9.799995690812036 53.55221140571165, 9.800165260046464 53.56119911459657, 9.815261054164313 53.5610971774343, 9.815088286718286 53.55210950180073, 9.799995690812036 53.55221140571165))"
APP_LGV_KACHEL_DOP20_1KM_UTM_69,5335,dop20rgb_32553_5935_1_hh_JAHR ,dop20c_32553_5935   ,"POLYGON ((9.800165260046464 53.56119911459657, 9.800334920828417 53.57018680952162, 9.815433914883979 53.57008483909402, 9.815261054164313 53.5610971774343, 9.800165260046464 53.56119911459657))"
APP_LGV_KACHEL_DOP20_1KM_UTM_70,5336,dop20rgb_32553_5936_1_hh_JAHR ,dop20c_32553_5936   ,"POLYGON ((9.800334920828417 53.57018680952162, 9.800504673224424 53.57917449048791, 9.815606868945071 53.57907248678082, 9.815433914883979 53.57008483909402, 9.800334920828417 53.57018680952162))"
APP_LGV_KACHEL_DOP20_1KM_UTM_71,5337,dop20rgb_32553_5937_1_hh_JAHR ,dop20c_32553_5937   ,"POLYGON ((9.800504673224424 53.57917449048791, 9.80067451730109 53.58816215749647, 9.815779916415439 53.58806012049585, 9.815606868945071 53.57907248678082, 9.800504673224424 53.57917449048791))"
